,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,carAge,price_per_kilometer
2604,Maruti Ritz ZXi,2012,360000,100000,Petrol,Individual,Manual,Second Owner,18,1197,85,5,13,3.6
2605,Hyundai Santro Xing XG AT,2004,130000,100000,Petrol,Individual,Automatic,Second Owner,19,1430,87,5,21,1.3
2606,Hyundai Elantra GT,2006,175000,25000,Petrol,Individual,Manual,Third Owner,13,1795,127,5,19,7.0
2607,Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2016,725000,120000,Diesel,Individual,Manual,First Owner,22,1396,88,5,9,6.041666666666667
2608,Fiat Linea Classic 1.3 Multijet,2014,280000,185000,Diesel,Individual,Manual,Third Owner,19,1248,75,5,11,1.5135135135135136
2609,Volkswagen Polo Diesel Highline 1.2L,2011,325000,134000,Diesel,Individual,Manual,Second Owner,22,1199,73,5,14,2.425373134328358
2610,Ford Figo Diesel ZXI,2014,320000,120000,Diesel,Individual,Manual,Third Owner,20,1399,68,5,11,2.6666666666666665
2611,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,500000,120000,Petrol,Individual,Manual,First Owner,18,1197,81,5,7,4.166666666666667
2612,Mahindra XUV500 W6 2WD,2014,825000,165000,Diesel,Individual,Manual,Second Owner,15,2179,140,7,11,5.0
2613,Maruti Ritz LDi,2016,350000,120000,Diesel,Individual,Manual,Third Owner,23,1248,73,5,9,2.9166666666666665
2614,Hyundai i20 1.4 CRDi Sportz,2011,470000,89000,Diesel,Individual,Manual,First Owner,23,1396,90,5,14,5.280898876404494
2615,Mahindra Renault Logan 1.5 DLE Diesel,2009,125000,120000,Diesel,Individual,Manual,Third Owner,19,1461,65,5,16,1.0416666666666667
2616,Hyundai Elantra GLS,2006,140000,120000,Petrol,Individual,Automatic,First Owner,13,1795,127,5,19,1.1666666666666667
2617,Honda Amaze VX i-DTEC,2013,484999,50000,Diesel,Individual,Manual,First Owner,25,1498,98,5,12,9.69998
2618,Maruti Alto 800 LXI,2018,308000,15000,Petrol,Individual,Manual,First Owner,24,796,47,5,7,20.533333333333335
2619,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,570000,13000,Petrol,Individual,Manual,First Owner,18,1197,81,5,6,43.84615384615385
2620,Toyota Fortuner 3.0 Diesel,2010,900000,240000,Diesel,Individual,Manual,First Owner,11,2982,171,7,15,3.75
2621,Jeep Compass 2.0 Limited 4X4,2017,1800000,45000,Diesel,Individual,Manual,First Owner,16,1956,170,5,8,40.0
2622,Mahindra Jeep MM 550 XDB,2005,400000,30000,Diesel,Individual,Manual,Second Owner,19,1430,87,5,20,13.333333333333334
2623,Maruti Swift Dzire AMT VXI,2018,680000,28000,Petrol,Individual,Automatic,First Owner,21,1197,81,5,7,24.285714285714285
2624,Maruti Swift Dzire ZDI,2017,700000,70000,Diesel,Individual,Manual,First Owner,28,1248,74,5,8,10.0
2625,Mahindra Xylo E4,2011,240000,116000,Diesel,Individual,Manual,First Owner,14,2498,112,7,14,2.0689655172413794
2626,Hyundai EON Era Plus,2014,280000,90000,Petrol,Individual,Manual,First Owner,21,814,55,5,11,3.111111111111111
2627,Tata Indica Vista Aqua 1.4 TDI,2010,125000,120000,Diesel,Individual,Manual,Second Owner,17,1405,71,5,15,1.0416666666666667
2628,Ford Fiesta 1.4 SXi TDCi,2009,130000,100000,Diesel,Individual,Manual,Third Owner,19,1430,87,5,16,1.3
2629,Volvo V40 Cross Country D3,2013,1200000,72500,Diesel,Individual,Automatic,Second Owner,23,1984,150,5,12,16.551724137931036
2630,Volkswagen Vento Diesel Highline,2013,400000,120000,Diesel,Individual,Manual,Second Owner,20,1598,103,5,12,3.3333333333333335
2631,Mahindra XUV500 W6 2WD,2014,850000,120000,Diesel,Individual,Manual,First Owner,15,2179,140,7,11,7.083333333333333
2632,Hyundai i20 Asta 1.4 CRDi,2014,475000,83000,Diesel,Individual,Manual,Second Owner,22,1396,88,5,11,5.72289156626506
2633,Ford Ikon 1.6 EXi NXt,2003,150000,40000,Petrol,Individual,Manual,Third Owner,14,1597,92,5,22,3.75
2634,Toyota Fortuner 2.8 2WD MT BSIV,2018,2900000,46000,Diesel,Individual,Manual,First Owner,14,2755,174,7,7,63.04347826086956
2635,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,1100000,137000,Diesel,Individual,Manual,First Owner,12,2494,100,7,10,8.02919708029197
2636,Maruti Alto 800 LXI,2017,285000,25000,Petrol,Individual,Manual,Second Owner,24,796,47,5,8,11.4
2637,Hyundai Grand i10 1.2 CRDi Asta,2018,650000,50000,Diesel,Individual,Manual,First Owner,24,1186,73,5,7,13.0
2638,Maruti A-Star Vxi,2012,275000,60000,Petrol,Individual,Manual,First Owner,19,998,66,5,13,4.583333333333333
2639,Maruti 800 AC,2000,60000,100000,Petrol,Individual,Manual,Second Owner,16,796,37,4,25,0.6
2640,Mahindra Logan Diesel 1.5 DLS,2011,229999,105000,Diesel,Individual,Manual,Second Owner,19,1461,65,5,14,2.1904666666666666
2641,Maruti Alto K10 LX,2015,300000,20000,Petrol,Individual,Manual,First Owner,23,998,67,5,10,15.0
2642,Maruti Ertiga SHVS ZDI Plus,2016,940000,50000,Diesel,Individual,Manual,First Owner,24,1248,88,7,9,18.8
2643,Maruti Ciaz ZDi,2015,600000,120000,Diesel,Individual,Manual,Second Owner,26,1248,88,5,10,5.0
2644,Maruti Baleno Alpha 1.3,2017,800000,70000,Diesel,Individual,Manual,First Owner,27,1248,74,5,8,11.428571428571429
2645,Nissan Sunny XV D,2017,580000,90000,Diesel,Individual,Manual,Second Owner,22,1461,84,5,8,6.444444444444445
2646,Tata Tigor 1.2 Revotron XT,2018,450000,75000,Petrol,Individual,Manual,First Owner,20,1199,84,5,7,6.0
2647,Chevrolet Optra Magnum 2.0 LS,2011,290000,82500,Diesel,Individual,Manual,Second Owner,16,1991,123,5,14,3.515151515151515
2648,Honda Amaze VX i-DTEC,2014,530000,110000,Diesel,Individual,Manual,First Owner,25,1498,98,5,11,4.818181818181818
2649,Hyundai Verna CRDi 1.4 EX,2019,960000,20000,Diesel,Individual,Manual,First Owner,24,1396,88,5,6,48.0
2650,Honda City 1.5 S MT,2009,290000,110000,Petrol,Individual,Manual,Third Owner,17,1497,118,5,16,2.6363636363636362
2651,Mitsubishi Lancer 2.0 L Diesel LX,2008,160000,100000,Diesel,Individual,Manual,First Owner,14,1998,68,5,17,1.6
2652,Maruti Celerio X ZXI Option BSIV,2017,400000,52000,Petrol,Individual,Manual,First Owner,21,998,67,5,8,7.6923076923076925
2653,Maruti Vitara Brezza LDi Option,2017,700000,90000,Diesel,Individual,Manual,First Owner,24,1248,88,5,8,7.777777777777778
2654,Volkswagen Vento Diesel Highline,2012,361000,90000,Diesel,Individual,Manual,First Owner,20,1598,103,5,13,4.011111111111111
2655,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,390000,53000,Diesel,Individual,Manual,Second Owner,21,1396,88,5,12,7.3584905660377355
2656,Tata Indica Vista Aqua 1.3 Quadrajet BSIV,2012,200000,180000,Diesel,Individual,Manual,First Owner,18,1248,75,5,13,1.1111111111111112
2657,Maruti Swift VDI,2013,500000,53000,Diesel,Individual,Manual,First Owner,22,1248,74,5,12,9.433962264150944
2658,Maruti Alto LXi,2011,200000,50600,Petrol,Individual,Manual,First Owner,19,796,46,5,14,3.952569169960474
2659,Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,2015,680000,50000,Petrol,Individual,Manual,First Owner,15,1499,110,5,10,13.6
2660,Maruti Alto 800 LXI,2013,235000,52000,Petrol,Dealer,Manual,First Owner,24,796,47,5,12,4.519230769230769
2661,Mahindra XUV500 W11 Option BSIV,2018,1700000,15000,Diesel,Individual,Manual,First Owner,15,2179,152,7,7,113.33333333333333
2662,Mahindra XUV500 AT W10 FWD,2015,1200000,50000,Diesel,Individual,Automatic,Second Owner,16,2179,140,7,10,24.0
2663,Honda City i DTEC VX,2014,630000,56000,Diesel,Individual,Manual,Second Owner,25,1498,98,5,11,11.25
2664,Ford Figo Aspire 1.5 TDCi Trend,2018,640000,82000,Diesel,Individual,Manual,First Owner,25,1498,99,5,7,7.804878048780488
2665,Hyundai Xcent 1.2 Kappa S,2014,355000,121000,Petrol,Dealer,Manual,First Owner,19,1197,82,5,11,2.9338842975206614
2666,Mahindra Scorpio VLX 2WD AIRBAG BSIV,2012,560000,101903,Diesel,Individual,Manual,Second Owner,12,2179,120,8,13,5.495422117111371
2667,Maruti Swift Dzire Tour LDI,2018,580000,120000,Diesel,Individual,Manual,First Owner,23,1248,74,5,7,4.833333333333333
2668,Ford Figo Diesel EXI Option,2010,185000,85568,Diesel,Dealer,Manual,First Owner,18,1399,68,5,15,2.162023186237846
2669,Maruti Baleno Zeta Automatic,2019,660000,10000,Petrol,Individual,Automatic,First Owner,21,1197,83,5,6,66.0
2670,Hyundai EON 1.0 Kappa Magna Plus,2014,220000,10000,Petrol,Individual,Manual,First Owner,20,998,68,5,11,22.0
2671,Hyundai Santro Xing GLS,2007,150000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17,1086,62,5,18,2.5
2672,Mahindra Scorpio M2DI,2011,484999,80000,Diesel,Individual,Manual,Second Owner,13,2179,115,5,14,6.0624875
2673,Maruti Swift LXI,2019,509999,10000,Petrol,Individual,Manual,First Owner,21,1197,81,5,6,50.9999
2674,Mahindra Bolero 2011-2019 ZLX BSIII,2014,515000,60000,Diesel,Individual,Manual,First Owner,15,2523,62,7,11,8.583333333333334
2675,Mercedes-Benz B Class B180 Sports,2014,1250000,42000,Petrol,Individual,Automatic,First Owner,11,1595,120,5,11,29.761904761904763
2676,Chevrolet Enjoy TCDi LS 8 Seater,2014,350000,50000,Diesel,Individual,Manual,Fourth & Above Owner,18,1248,73,8,11,7.0
2677,Maruti Alto K10 VXI,2018,375000,11500,Petrol,Individual,Manual,First Owner,23,998,67,5,7,32.608695652173914
2678,Hyundai Creta 1.4 E Plus,2019,950000,15000,Diesel,Individual,Manual,First Owner,22,1396,88,5,6,63.333333333333336
2679,Maruti Swift Dzire ZDI,2015,615000,32000,Diesel,Individual,Manual,First Owner,26,1248,74,5,10,19.21875
2680,Maruti Swift LXI,2011,275000,50000,Petrol,Individual,Manual,First Owner,18,1197,85,5,14,5.5
2681,Maruti Eeco 5 Seater AC BSIV,2017,400000,10000,Petrol,Individual,Manual,First Owner,15,1196,73,5,8,40.0
2682,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2019,930000,15000,Diesel,Individual,Manual,First Owner,25,1248,88,5,6,62.0
2683,Maruti Swift Dzire VXI,2012,310000,100000,Petrol,Individual,Manual,First Owner,19,1197,85,5,13,3.1
2684,Toyota Etios GD,2012,320000,120000,Diesel,Individual,Manual,First Owner,19,1430,87,5,13,2.6666666666666665
2685,Toyota Innova Crysta 2.4 VX MT BSIV,2016,1670000,25000,Diesel,Individual,Manual,Second Owner,13,2393,147,7,9,66.8
2686,Maruti Swift Dzire LDI,2013,356000,70000,Diesel,Individual,Manual,Second Owner,23,1248,74,5,12,5.085714285714285
2687,Honda City V MT,2013,500000,32000,Petrol,Individual,Manual,First Owner,16,1497,116,5,12,15.625
2688,Tata Tiago 1.2 Revotron XT,2018,409999,35000,Petrol,Individual,Manual,Second Owner,23,1199,84,5,7,11.714257142857143
2689,Maruti Vitara Brezza ZDi Plus,2019,980000,50000,Diesel,Individual,Manual,First Owner,24,1248,88,5,6,19.6
2690,Mahindra Bolero DI,2005,150000,100000,Diesel,Individual,Manual,Second Owner,13,2523,63,7,20,1.5
2691,Honda Jazz VX CVT,2019,750000,3100,Petrol,Individual,Automatic,First Owner,18,1199,88,5,6,241.93548387096774
2692,Skoda Superb Elegance 1.8 TSI AT,2013,500000,60000,Petrol,Individual,Automatic,First Owner,13,1798,157,5,12,8.333333333333334
2693,Maruti Swift VDI,2013,355000,170000,Diesel,Individual,Manual,First Owner,22,1248,74,5,12,2.088235294117647
2694,Tata Indica Vista Aqua TDI BSIII,2011,200000,50000,Diesel,Individual,Manual,Second Owner,17,1405,71,5,14,4.0
2695,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2008,370000,120000,Diesel,Individual,Manual,Second Owner,12,2494,102,8,17,3.0833333333333335
2696,Hyundai Xcent 1.2 Kappa SX Option,2015,450000,20000,Petrol,Individual,Manual,First Owner,19,1197,82,5,10,22.5
2697,Hyundai Grand i10 Sportz,2015,486000,10000,Petrol,Individual,Manual,First Owner,18,1197,82,5,10,48.6
2698,Maruti SX4 Celebration Diesel,2011,242000,120000,Diesel,Individual,Manual,First Owner,21,1248,88,5,14,2.0166666666666666
2699,Hyundai Grand i10 1.2 Kappa Asta,2018,580000,25000,Petrol,Individual,Manual,First Owner,18,1197,81,5,7,23.2
2700,Ford EcoSport 1.5 TDCi Titanium BSIV,2014,500000,130000,Diesel,Individual,Manual,Second Owner,22,1498,98,5,11,3.8461538461538463
2701,Toyota Premio Base,2004,170000,120000,Petrol,Individual,Manual,Second Owner,19,1430,87,5,21,1.4166666666666667
2702,Mahindra Quanto C6,2013,300000,40000,Diesel,Individual,Manual,First Owner,17,1493,100,7,12,7.5
2703,Mahindra Thar DI 4X4 PS,2016,710000,60000,Diesel,Individual,Manual,First Owner,18,2523,63,7,9,11.833333333333334
2704,Skoda Fabia 1.2 TDI Ambition Plus,2012,220000,70000,Diesel,Individual,Manual,Third Owner,20,1199,75,5,13,3.142857142857143
2705,Maruti Swift AMT VXI,2020,654000,1000,Petrol,Individual,Automatic,First Owner,21,1197,81,5,5,654.0
2706,Skoda Rapid 1.6 MPI AT Ambition BSIV,2019,835000,10000,Petrol,Individual,Automatic,First Owner,14,1598,103,5,6,83.5
2707,Ford Fiesta 1.6 ZXi ABS,2010,250000,47000,Petrol,Individual,Manual,First Owner,15,1596,101,5,15,5.319148936170213
2708,Maruti Swift VXI,2019,600000,18000,Petrol,Individual,Manual,First Owner,21,1197,81,5,6,33.333333333333336
2709,Maruti Swift Dzire VXI,2016,459999,60000,Petrol,Individual,Manual,First Owner,20,1197,83,5,9,7.66665
2710,Renault KWID 1.0 RXL,2018,275000,20000,Petrol,Individual,Manual,First Owner,23,999,67,5,7,13.75
2711,Ford Figo 1.2P Titanium MT,2017,408000,60000,Petrol,Individual,Manual,First Owner,18,1196,86,5,8,6.8
2712,Mahindra XUV500 W5 BSIV,2018,1200000,25000,Diesel,Individual,Manual,First Owner,15,2179,152,7,7,48.0
2713,Hyundai Xcent 1.2 Kappa S Option,2014,375000,52000,Petrol,Individual,Manual,First Owner,19,1197,81,5,11,7.211538461538462
2714,Maruti Alto LXi,2006,94500,44000,Petrol,Individual,Manual,First Owner,19,796,46,5,19,2.147727272727273
2715,Volkswagen Polo Petrol Comfortline 1.2L,2011,300000,17000,Petrol,Individual,Manual,First Owner,16,1198,73,5,14,17.647058823529413
2716,Honda City 1.5 E MT,2009,350000,35000,Petrol,Individual,Manual,First Owner,17,1497,118,5,16,10.0
2717,Toyota Fortuner 3.0 Diesel,2011,975000,120000,Diesel,Individual,Manual,Third Owner,11,2982,171,7,14,8.125
2718,Hyundai i20 Asta 1.2,2015,600000,100000,Petrol,Individual,Manual,First Owner,18,1197,81,5,10,6.0
2719,Toyota Innova 2.5 G (Diesel) 7 Seater,2014,700000,300000,Diesel,Individual,Manual,Second Owner,12,2494,100,7,11,2.3333333333333335
2720,Mahindra Bolero Power Plus ZLX,2017,640000,90000,Diesel,Individual,Manual,First Owner,16,1493,70,7,8,7.111111111111111
2721,Hyundai Creta 1.6 CRDi SX Option,2017,1110000,186000,Diesel,Individual,Manual,First Owner,19,1582,126,5,8,5.967741935483871
2722,Maruti Ertiga VDI,2014,570000,79000,Diesel,Individual,Manual,Second Owner,20,1248,88,7,11,7.215189873417722
2723,Toyota Innova 2.5 E Diesel MS 7-seater,2010,451999,120000,Diesel,Individual,Manual,First Owner,12,2494,102,7,15,3.7666583333333334
2724,Renault KWID RXT,2016,240000,59300,Petrol,Individual,Manual,First Owner,25,799,53,5,9,4.0472175379426645
2725,Mahindra Scorpio S2 7 Seater,2014,680000,120000,Diesel,Individual,Manual,First Owner,15,2523,75,7,11,5.666666666666667
2726,Tata Zest Quadrajet 1.3 75PS XE,2015,350000,60000,Diesel,Individual,Manual,First Owner,22,1248,74,5,10,5.833333333333333
2727,Volkswagen Vento Petrol Highline,2012,360000,60000,Petrol,Individual,Manual,Third Owner,15,1598,103,5,13,6.0
2728,Ford Figo Petrol ZXI,2010,250000,80000,Petrol,Individual,Manual,Second Owner,15,1196,70,5,15,3.125
2729,Maruti Swift VXI,2019,550000,11500,Petrol,Individual,Manual,First Owner,21,1197,81,5,6,47.82608695652174
2730,Hyundai EON Magna Plus,2012,180000,56000,Petrol,Individual,Manual,First Owner,21,814,55,5,13,3.2142857142857144
2731,Honda Jazz 1.5 E i DTEC,2016,425000,68000,Diesel,Individual,Manual,First Owner,27,1498,98,5,9,6.25
2732,Tata Tiago 1.2 Revotron XT,2019,409999,25000,Petrol,Individual,Manual,First Owner,23,1199,84,5,6,16.39996
2733,Tata Tiago 1.2 Revotron XT,2018,438999,25000,Petrol,Individual,Manual,First Owner,23,1199,84,5,7,17.55996
2734,Nissan Micra Active XL Petrol,2014,225000,100000,Petrol,Individual,Manual,First Owner,19,1198,67,5,11,2.25
2735,Mahindra Bolero Power Plus Plus Non AC BSIV PS,2017,580000,95000,Diesel,Individual,Manual,First Owner,15,2523,63,9,8,6.105263157894737
2736,Maruti Swift Dzire VXi,2008,200000,100000,Petrol,Individual,Manual,First Owner,17,1298,85,5,17,2.0
2737,Hyundai Santro Xing Base,2006,75000,90000,Petrol,Individual,Manual,Second Owner,19,1430,87,5,19,0.8333333333333334
2738,Fiat Grande Punto 1.3 Dynamic (Diesel),2013,250000,47000,Diesel,Individual,Manual,First Owner,20,1248,75,5,12,5.319148936170213
2739,Maruti Ritz LDi,2011,170000,175000,Diesel,Individual,Manual,Second Owner,21,1248,73,5,14,0.9714285714285714
2740,Maruti Swift Dzire 1.2 Vxi BSIV,2010,300000,60000,Petrol,Individual,Manual,Second Owner,17,1197,85,5,15,5.0
2741,Mahindra Bolero DI,2005,160000,300000,Diesel,Individual,Manual,Third Owner,13,2523,63,7,20,0.5333333333333333
2742,Maruti Swift Dzire VDI,2014,409999,150000,Diesel,Individual,Manual,Third Owner,23,1248,74,5,11,2.7333266666666667
2743,Hyundai i20 1.4 CRDi Asta,2012,350000,110000,Diesel,Individual,Manual,Third Owner,23,1396,90,5,13,3.1818181818181817
2744,Renault KWID RXL,2019,310000,25000,Petrol,Individual,Manual,First Owner,25,799,53,5,6,12.4
2745,Maruti Alto LXi,2010,135000,95000,Petrol,Individual,Manual,Third Owner,19,796,46,5,15,1.4210526315789473
2746,Maruti Ritz VDi,2010,220000,100000,Diesel,Individual,Manual,First Owner,21,1248,73,5,15,2.2
2747,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017,570000,20000,Petrol,Individual,Manual,First Owner,18,1197,81,5,8,28.5
2748,Maruti Swift Dzire VDI,2014,500000,84000,Diesel,Individual,Manual,First Owner,23,1248,74,5,11,5.9523809523809526
2749,Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2016,875000,40000,Diesel,Individual,Manual,First Owner,22,1396,88,5,9,21.875
2750,Tata Indica Vista TDI LX,2011,210000,100000,Diesel,Individual,Manual,First Owner,19,1405,70,5,14,2.1
2751,Tata Indica Vista TDI LX,2011,210000,120000,Diesel,Individual,Manual,First Owner,19,1405,70,5,14,1.75
2752,Hyundai Santro Xing GLS LPG,2010,200000,80000,LPG,Individual,Manual,Second Owner,13,1086,62,5,15,2.5
2753,Maruti Alto LX,2011,175000,175000,Petrol,Individual,Manual,Second Owner,19,796,46,5,14,1.0
2754,Hyundai i20 1.2 Asta Option,2017,700000,30000,Petrol,Individual,Manual,First Owner,18,1197,81,5,8,23.333333333333332
2755,Hyundai Grand i10 1.2 Kappa Magna AT,2019,550000,28000,Petrol,Individual,Automatic,First Owner,18,1197,81,5,6,19.642857142857142
2756,Hyundai Santro Era,2019,420000,20000,Petrol,Individual,Manual,Second Owner,20,1086,68,5,6,21.0
2757,Hyundai i20 Asta,2009,210000,89322,Petrol,Individual,Manual,Second Owner,17,1197,80,5,16,2.3510445355007725
2758,Chevrolet Beat Diesel LT,2013,175000,76000,Diesel,Individual,Manual,First Owner,25,936,57,5,12,2.3026315789473686
2759,Maruti Alto LXi,2012,180000,70000,Petrol,Individual,Manual,Second Owner,19,796,46,5,13,2.5714285714285716
2760,Maruti Alto LX BSIII,2007,118000,110000,Petrol,Individual,Manual,Second Owner,19,796,46,5,18,1.0727272727272728
2761,Hyundai Verna CRDi,2007,170000,120000,Diesel,Individual,Manual,Second Owner,16,1493,110,5,18,1.4166666666666667
2762,Maruti Zen Estilo 1.1 LX BSIII,2009,120000,110000,Petrol,Individual,Manual,Second Owner,18,1061,64,5,16,1.0909090909090908
2763,Maruti Alto LXi,2009,170000,90000,Petrol,Individual,Manual,Third Owner,19,796,46,5,16,1.8888888888888888
2764,Maruti Swift ZDI Plus,2018,700000,60000,Diesel,Individual,Manual,First Owner,28,1248,74,5,7,11.666666666666666
2765,Mahindra Bolero 2011-2019 SLE BSIII,2014,500000,48300,Diesel,Individual,Manual,Second Owner,15,2523,62,7,11,10.351966873706004
2766,Maruti Wagon R AX Minor,2007,80000,63000,Petrol,Individual,Automatic,Third Owner,18,1061,67,5,18,1.2698412698412698
2767,Honda City 2017-2020 EXi,2008,105000,110000,Petrol,Individual,Manual,Second Owner,17,1497,78,5,17,0.9545454545454546
2768,Maruti Swift Dzire LDI,2016,425000,120000,Diesel,Individual,Manual,Third Owner,26,1248,74,5,9,3.5416666666666665
2769,Hyundai i20 2015-2017 Sportz 1.2,2017,625000,23511,Petrol,Individual,Manual,First Owner,18,1197,81,5,8,26.583301433371613
2770,Hyundai i20 1.2 Spotz,2017,640000,22512,Petrol,Individual,Manual,First Owner,18,1197,81,5,8,28.429282160625444
2771,Hyundai i10 Magna 1.2 iTech SE,2010,180000,120000,Petrol,Individual,Manual,First Owner,20,1197,78,5,15,1.5
2772,Maruti Ritz VDi,2009,155000,120000,Diesel,Individual,Manual,First Owner,21,1248,73,5,16,1.2916666666666667
2773,Maruti Wagon R LX Minor,2007,85000,100000,Petrol,Individual,Manual,Third Owner,18,1061,67,5,18,0.85
2774,Hyundai i10 Magna 1.2 iTech SE,2011,250000,70000,Petrol,Individual,Manual,First Owner,20,1197,78,5,14,3.5714285714285716
2775,Hyundai Verna 1.6 VTVT AT SX,2017,1000000,15000,Petrol,Individual,Automatic,First Owner,17,1591,121,5,8,66.66666666666667
2776,Datsun GO A EPS,2016,350000,16500,Petrol,Individual,Manual,First Owner,20,1198,67,5,9,21.21212121212121
2777,Maruti Swift Dzire ZDI,2018,740000,50000,Diesel,Individual,Manual,First Owner,28,1248,74,5,7,14.8
2778,Datsun RediGO 1.0 S,2018,300000,19000,Petrol,Individual,Manual,First Owner,22,999,67,5,7,15.789473684210526
2779,Volkswagen Ameo 1.5 TDI Comfortline,2017,550000,50000,Diesel,Individual,Manual,First Owner,21,1498,108,5,8,11.0
2780,Mahindra Bolero 2011-2019 SLX,2017,710000,70000,Diesel,Individual,Manual,First Owner,15,2523,62,7,8,10.142857142857142
2781,Mahindra Bolero 2011-2019 SLX,2017,700000,70000,Diesel,Individual,Manual,First Owner,15,2523,62,7,8,10.0
2782,Mahindra Bolero 2011-2019 SLE BSIII,2016,550000,120000,Diesel,Individual,Manual,First Owner,15,2523,62,7,9,4.583333333333333
2783,Hyundai i10 Sportz 1.1L LPG,2015,375000,60000,LPG,Individual,Manual,First Owner,19,1086,68,5,10,6.25
2784,Tata Safari DICOR 2.2 EX 4x2,2015,600000,60000,Diesel,Individual,Manual,First Owner,13,2179,138,7,10,10.0
2785,Maruti Swift VDI,2013,380000,76000,Diesel,Individual,Manual,Second Owner,22,1248,74,5,12,5.0
2786,Maruti 800 DX,1998,45000,80000,Petrol,Individual,Manual,Fourth & Above Owner,16,796,37,4,27,0.5625
2787,Toyota Innova 2.5 G4 Diesel 8-seater,2010,450000,210000,Diesel,Individual,Manual,Second Owner,12,2494,102,8,15,2.142857142857143
2788,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,475000,128000,Diesel,Individual,Manual,Third Owner,15,2523,63,9,10,3.7109375
2789,Renault Triber RXZ BSIV,2019,650000,5000,Petrol,Individual,Manual,First Owner,20,999,72,7,6,130.0
2790,Maruti Wagon R LXI LPG BSIV,2011,200000,70000,LPG,Individual,Manual,First Owner,26,998,58,5,14,2.857142857142857
2791,Maruti Swift VDI,2013,350000,85000,Diesel,Individual,Manual,First Owner,22,1248,74,5,12,4.117647058823529
2792,Maruti Vitara Brezza ZDi AMT,2018,911999,25000,Diesel,Individual,Automatic,First Owner,24,1248,88,5,7,36.47996
2793,Maruti Swift Dzire VXI 1.2,2018,650000,15000,Petrol,Individual,Manual,First Owner,21,1197,81,5,7,43.333333333333336
2794,Maruti Swift Dzire VXi,2012,350000,30000,Petrol,Individual,Manual,First Owner,17,1298,85,5,13,11.666666666666666
2795,Maruti Omni E MPI STD BS IV,2016,190000,80000,Petrol,Individual,Manual,Second Owner,16,796,34,8,9,2.375
2796,Hyundai Verna CRDi 1.6 SX Option,2019,1200000,40000,Diesel,Individual,Manual,First Owner,22,1582,126,5,6,30.0
2797,Mahindra Bolero 2011-2019 EX NON AC,2013,305000,160000,Diesel,Individual,Manual,First Owner,15,2523,62,7,12,1.90625
2798,Hyundai Creta 1.6 CRDi SX,2015,850000,108000,Diesel,Individual,Manual,First Owner,19,1582,126,5,10,7.87037037037037
2799,Volkswagen Jetta 2.0 TDI Comfortline,2011,350000,120000,Diesel,Individual,Manual,Second Owner,15,1896,105,5,14,2.9166666666666665
2800,Hyundai Santro Xing GLS,2010,180000,55000,Petrol,Individual,Manual,Fourth & Above Owner,17,1086,62,5,15,3.272727272727273
2801,Tata New Safari Dicor GX 4X2 BS IV,2008,200000,110000,Diesel,Individual,Manual,First Owner,13,2179,138,7,17,1.8181818181818181
2802,Toyota Etios GD,2011,375000,80000,Diesel,Individual,Manual,First Owner,19,1430,87,5,14,4.6875
2803,Honda Brio E MT,2012,229999,110000,Petrol,Individual,Manual,First Owner,19,1198,86,5,13,2.0909
2804,Maruti Wagon R VXI,2006,135000,62900,Petrol,Individual,Manual,First Owner,18,998,67,5,19,2.146263910969793
2805,Volkswagen Jetta 2.0L TDI Highline,2011,425000,120000,Diesel,Individual,Manual,Second Owner,19,1968,138,5,14,3.5416666666666665
2806,Mahindra XUV500 W10 2WD,2016,1350000,70000,Diesel,Individual,Manual,First Owner,16,2179,140,7,9,19.285714285714285
2807,Ford Endeavour 4x2 XLT Limited Edition,2009,480000,70000,Diesel,Individual,Manual,Third Owner,10,2499,143,7,16,6.857142857142857
2808,Maruti Swift Dzire LDI,2017,455000,60000,Diesel,Individual,Manual,First Owner,28,1248,74,5,8,7.583333333333333
2809,Maruti Wagon R VXI Optional,2015,320000,60000,Petrol,Individual,Manual,First Owner,20,998,67,5,10,5.333333333333333
2810,Hyundai Elite i20 Sportz Plus BSIV,2019,693000,4000,Petrol,Individual,Manual,First Owner,18,1197,81,5,6,173.25
2811,Maruti Vitara Brezza ZDi Plus,2017,830000,35000,Diesel,Individual,Manual,First Owner,24,1248,88,5,8,23.714285714285715
2812,Hyundai Grand i10 Sportz,2016,470000,13500,Petrol,Individual,Manual,First Owner,18,1197,82,5,9,34.81481481481482
2813,Honda City i VTEC CVT VX,2017,1100000,26000,Petrol,Individual,Automatic,First Owner,18,1497,117,5,8,42.30769230769231
2814,Tata Zest Quadrajet 1.3 XM,2016,325000,50000,Diesel,Individual,Manual,First Owner,23,1248,88,5,9,6.5
